rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
gift_shop → kiosk,gift_shop,kiosk,0.333,0.045,2.29,0.842,0.45,0.0087,496,1156,225
video_shop → furniture_shop,video_shop,furniture_shop,0.375,0.038,5.31,0.772,0.38,0.0086,8,562,3
toy_shop → bookshop,toy_shop,bookshop,0.303,0.049,5.53,0.846,0.49,0.0086,218,436,107
bus_station → post_office,bus_station,post_office,0.364,0.038,2.15,0.784,0.38,0.0084,55,1345,21
mobile_phone_shop → chemist,mobile_phone_shop,chemist,0.348,0.041,7.71,0.827,0.41,0.0083,365,359,149
optician → dentist,optician,dentist,0.325,0.045,4.01,0.858,0.45,0.0083,776,645,347
butcher → pharmacy,butcher,pharmacy,0.32,0.045,1.6,0.836,0.45,0.0083,724,1593,323
clinic → pharmacy,clinic,pharmacy,0.321,0.045,1.6,0.849,0.45,0.0083,246,1593,111
jeweller → dentist,jeweller,dentist,0.319,0.045,3.94,0.861,0.45,0.0082,842,645,380
sports_shop → pharmacy,sports_shop,pharmacy,0.303,0.047,1.51,0.85,0.47,0.0081,868,1593,405
department_store → bookshop,department_store,bookshop,0.301,0.045,5.5,0.843,0.45,0.0079,176,436,80
chemist → florist,chemist,florist,0.329,0.04,2.74,0.842,0.4,0.0077,359,953,145
doctors → pharmacy,doctors,pharmacy,0.322,0.041,1.61,0.846,0.41,0.0077,1979,1593,819
mall → chemist,mall,chemist,0.302,0.042,6.7,0.808,0.42,0.0075,43,359,18
beverages → pharmacy,beverages,pharmacy,0.302,0.042,1.51,0.848,0.42,0.0074,430,1593,182
optician → sports_shop,optician,sports_shop,0.303,0.043,2.78,0.861,0.43,0.0074,776,868,332
car_rental → railway_station,car_rental,railway_station,0.352,0.036,2.28,0.828,0.36,0.0073,287,1226,102
food_court → chemist,food_court,chemist,0.32,0.037,7.09,0.799,0.37,0.0072,75,359,28
