rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
travel_agent → hairdresser,travel_agent,hairdresser,0.796,0.292,1.37,0.497,2.92,0.1748,460,4634,1345
theatre → restaurant,theatre,restaurant,0.688,0.358,0.69,0.584,3.58,0.1745,346,14682,1240
florist → bench,florist,bench,0.63,0.42,0.63,0.68,4.2,0.1744,953,88411,3999
arts_centre → bench,arts_centre,bench,0.576,0.473,0.58,0.723,4.73,0.1741,144,88411,681
university → bench,university,bench,0.658,0.408,0.66,0.703,4.08,0.1741,111,88411,453
cafe → restaurant,cafe,restaurant,0.684,0.355,0.68,0.576,3.55,0.1731,3316,14682,11782
hotel → restaurant,hotel,restaurant,0.744,0.292,0.74,0.427,2.92,0.171,2489,14682,7276
video_shop → clothes,video_shop,clothes,0.75,0.325,1.66,0.606,3.25,0.1699,8,3601,26
community_centre → bench,community_centre,bench,0.61,0.424,0.61,0.695,4.24,0.1685,410,88411,1737
nightclub → bench,nightclub,bench,0.565,0.47,0.56,0.732,4.7,0.1682,271,88411,1273
chemist → restaurant,chemist,restaurant,0.78,0.291,0.78,0.532,2.91,0.1664,359,14682,1043
museum → bench,museum,bench,0.587,0.422,0.59,0.689,4.22,0.1623,778,88411,3280
kiosk → restaurant,kiosk,restaurant,0.73,0.299,0.73,0.523,2.99,0.1611,1156,14682,3453
mall → bench,mall,bench,0.605,0.412,0.6,0.708,4.12,0.1608,43,88411,177
biergarten → tree,biergarten,tree,0.368,0.67,0.37,0.71,6.7,0.1592,57,899340,382
water_mill → tree,water_mill,tree,0.415,0.605,0.41,0.742,6.05,0.1578,41,899340,248
zoo → tree,zoo,tree,0.5,0.467,0.5,0.652,4.67,0.1572,18,899340,84
bus_station → bench,bus_station,bench,0.6,0.385,0.6,0.66,3.85,0.155,55,88411,212
toy_shop → bench,toy_shop,bench,0.56,0.436,0.56,0.737,4.36,0.154,218,88411,950
department_store → restaurant,department_store,restaurant,0.653,0.339,0.65,0.609,3.39,0.1538,176,14682,596
chemist → bench,chemist,bench,0.588,0.401,0.59,0.704,4.01,0.1526,359,88411,1438
mobile_phone_shop → fast_food,mobile_phone_shop,fast_food,0.715,0.29,2.12,0.571,2.9,0.1484,365,2688,1060
outdoor_shop → bench,outdoor_shop,bench,0.582,0.393,0.58,0.71,3.93,0.1473,141,88411,554
attraction → bench,attraction,bench,0.505,0.43,0.51,0.673,4.3,0.1443,1231,88411,5298
computer_shop → restaurant,computer_shop,restaurant,0.71,0.286,0.71,0.585,2.86,0.144,214,14682,613
christian_catholic → tree,christian_catholic,tree,0.304,0.795,0.3,0.809,7.95,0.1438,168,899340,1336
water_mill → bench,water_mill,bench,0.61,0.337,0.61,0.601,3.37,0.1436,41,88411,138
clothes → cafe,clothes,cafe,0.765,0.254,1.83,0.534,2.54,0.1424,3601,3316,9154
florist → restaurant,florist,restaurant,0.694,0.287,0.69,0.57,2.87,0.1422,953,14682,2733
stationery → hairdresser,stationery,hairdresser,0.755,0.257,1.3,0.533,2.57,0.1421,249,4634,639
market_place → clothes,market_place,clothes,0.5,0.432,1.1,0.697,4.32,0.1407,140,3601,605
library → bench,library,bench,0.549,0.399,0.55,0.723,3.99,0.1401,1072,88411,4280
bakery → bench,bakery,bench,0.568,0.375,0.57,0.706,3.75,0.1376,2065,88411,7742
mobile_phone_shop → cafe,mobile_phone_shop,cafe,0.748,0.245,1.79,0.547,2.45,0.1334,365,3316,896
mall → bus_stop,mall,bus_stop,0.884,0.219,0.88,0.621,2.19,0.1332,43,36434,94
taxi → tourist_info,taxi,tourist_info,0.703,0.252,0.7,0.503,2.52,0.1326,202,52949,509
bakery → restaurant,bakery,restaurant,0.708,0.26,0.71,0.563,2.6,0.1322,2065,14682,5371
arts_centre → restaurant,arts_centre,restaurant,0.646,0.294,0.65,0.619,2.94,0.1313,144,14682,424
furniture_shop → restaurant,furniture_shop,restaurant,0.63,0.305,0.63,0.635,3.05,0.131,562,14682,1712
bus_station → tourist_info,bus_station,tourist_info,0.727,0.249,0.73,0.558,2.49,0.1306,55,52949,137
dentist → restaurant,dentist,restaurant,0.685,0.269,0.69,0.602,2.69,0.1287,645,14682,1734
mobile_phone_shop → bus_stop,mobile_phone_shop,bus_stop,0.775,0.24,0.78,0.619,2.4,0.1286,365,36434,877
guesthouse → tree,guesthouse,tree,0.307,0.707,0.31,0.822,7.07,0.1278,792,899340,5600
sports_shop → restaurant,sports_shop,restaurant,0.683,0.264,0.68,0.587,2.64,0.1274,868,14682,2290
restaurant → bench,restaurant,bench,0.535,0.376,0.53,0.734,3.76,0.1273,14682,88411,55213
bookshop → cafe,bookshop,cafe,0.75,0.232,1.8,0.561,2.32,0.1254,436,3316,1013
nursing_home → bench,nursing_home,bench,0.625,0.31,0.62,0.709,3.1,0.1252,48,88411,149
furniture_shop → bench,furniture_shop,bench,0.507,0.401,0.51,0.769,4.01,0.1252,562,88411,2255
christian_methodist → bench,christian_methodist,bench,0.579,0.337,0.58,0.726,3.37,0.1242,19,88411,64
clothes → jeweller,clothes,jeweller,0.666,0.262,6.29,0.581,2.62,0.1238,3601,842,9446
monument → bench,monument,bench,0.442,0.426,0.44,0.689,4.26,0.1235,233,88411,993
zoo → bench,zoo,bench,0.667,0.267,0.67,0.616,2.67,0.123,18,88411,48
travel_agent → bus_stop,travel_agent,bus_stop,0.75,0.235,0.75,0.611,2.35,0.1223,460,36434,1080
tram_stop → restaurant,tram_stop,restaurant,0.656,0.265,0.66,0.619,2.65,0.1201,1241,14682,3291
beauty_shop → clothes,beauty_shop,clothes,0.54,0.332,1.19,0.661,3.32,0.1198,1258,3601,4172
optician → cafe,optician,cafe,0.731,0.227,1.75,0.561,2.27,0.1192,776,3316,1760
pharmacy → bus_stop,pharmacy,bus_stop,0.781,0.215,0.78,0.585,2.15,0.1185,1593,36434,3417
muslim → bench,muslim,bench,0.6,0.309,0.6,0.73,3.09,0.1176,35,88411,108
hostel → tree,hostel,tree,0.387,0.5,0.39,0.785,5.0,0.1176,186,899340,930
hotel → bench,hotel,bench,0.54,0.341,0.54,0.74,3.41,0.116,2489,88411,8493
shoe_shop → cafe,shoe_shop,cafe,0.703,0.23,1.69,0.564,2.3,0.1159,710,3316,1630
food_court → fast_food,food_court,fast_food,0.6,0.28,1.78,0.623,2.8,0.1157,75,2688,210
jeweller → fast_food,jeweller,fast_food,0.696,0.24,2.06,0.616,2.4,0.1156,842,2688,2020
railway_station → tourist_info,railway_station,tourist_info,0.739,0.201,0.74,0.455,2.01,0.1147,1226,52949,2463
butcher → restaurant,butcher,restaurant,0.689,0.229,0.69,0.555,2.29,0.1142,724,14682,1661
optician → bus_stop,optician,bus_stop,0.762,0.218,0.76,0.635,2.18,0.1134,776,36434,1693
buddhist → bench,buddhist,bench,0.714,0.243,0.71,0.7,2.43,0.1128,7,88411,17
toy_shop → hairdresser,toy_shop,hairdresser,0.656,0.237,1.13,0.596,2.37,0.1092,218,4634,517
beverages → restaurant,beverages,restaurant,0.556,0.292,0.56,0.659,2.92,0.1088,430,14682,1256
convenience → bench,convenience,bench,0.507,0.339,0.51,0.738,3.39,0.1085,2695,88411,9137
computer_shop → bench,computer_shop,bench,0.542,0.321,0.54,0.752,3.21,0.1084,214,88411,686
laundry → hairdresser,laundry,hairdresser,0.72,0.207,1.24,0.544,2.07,0.1083,428,4634,885
video_shop → bar,video_shop,bar,0.5,0.3,1.78,0.557,3.0,0.1082,8,2240,24
market_place → hairdresser,market_place,hairdresser,0.629,0.255,1.08,0.657,2.55,0.1076,140,4634,357
newsagent → clothes,newsagent,clothes,0.544,0.297,1.2,0.67,2.97,0.1076,239,3601,711
mobile_phone_shop → jeweller,mobile_phone_shop,jeweller,0.704,0.212,6.65,0.565,2.12,0.107,365,842,773
college → restaurant,college,restaurant,0.639,0.249,0.64,0.658,2.49,0.1065,144,14682,358
video_shop → hairdresser,video_shop,hairdresser,0.625,0.238,1.07,0.57,2.38,0.1061,8,4634,19
food_court → supermarket,food_court,supermarket,0.747,0.179,1.72,0.416,1.79,0.1056,75,3462,134
doctors → restaurant,doctors,restaurant,0.652,0.238,0.65,0.644,2.38,0.1054,1979,14682,4713
cinema → clothes,cinema,clothes,0.551,0.288,1.22,0.683,2.88,0.1046,234,3601,674
playground → bench,playground,bench,0.508,0.313,0.51,0.697,3.13,0.1034,4069,88411,12721
kiosk → bus_stop,kiosk,bus_stop,0.724,0.199,0.72,0.571,1.99,0.1031,1156,36434,2303
video_shop → bench,video_shop,bench,0.5,0.35,0.5,0.822,3.5,0.1031,8,88411,28
tourist_info → tree,tourist_info,tree,0.289,0.603,0.29,0.818,6.03,0.103,52949,899340,319309
christian_methodist → restaurant,christian_methodist,restaurant,0.684,0.237,0.68,0.729,2.37,0.103,19,14682,45
kindergarten → bench,kindergarten,bench,0.503,0.329,0.5,0.757,3.29,0.1029,1337,88411,4405
shoe_shop → jeweller,shoe_shop,jeweller,0.61,0.24,5.76,0.61,2.4,0.1016,710,842,1702
chemist → clothes,chemist,clothes,0.521,0.288,1.15,0.65,2.88,0.1014,359,3601,1035
travel_agent → cafe,travel_agent,cafe,0.683,0.208,1.64,0.594,2.08,0.1,460,3316,958
cinema → bus_stop,cinema,bus_stop,0.748,0.197,0.75,0.648,1.97,0.0998,234,36434,462
jeweller → shoe_shop,jeweller,shoe_shop,0.702,0.202,7.87,0.595,2.02,0.0997,842,710,1702
